Year,P1_wo_bio,IS_wo_bio,EE_wo_bio,Hum_wo_bio
1960,1742876.15,3960504.148,7231694.53,6305777.704
1961,1780731.611,4014069.331,7355452.981,6418548.465
1962,1821336.851,4070407.163,7479820.341,6538669.276
1963,1862209.711,4126054.643,7603736.416,6658790.087
1964,1903623.038,4181432.966,7733251.455,6779750.903
1965,1948801.856,4240606.216,7868905.399,6910791.788
1966,1994307.102,4298946.861,8002582.397,7041832.673
1967,2040408.876,4356873.615,8141768.126,7173713.563
1968,2090403.329,4418266.559,8286882.788,7315674.521
1969,2140779.942,4478683.652,8429928.497,7457635.479
1970,2192558.907,4539413.763,8581908.653,7602536.458
1971,2247638.012,4602342.437,8734635.339,7755417.49
1972,2303150.811,4664152.573,8886615.12,7908298.522
1973,2361383.325,4727381.752,9050747.307,8067479.596
1974,2421824.784,4791120.348,9212002.119,8231280.702
1975,2482763.581,4853575.63,9372440.303,8395081.808
1976,2547887.463,4918456.176,9548305.447,8568752.98
1977,2613998.828,4982210.475,9717618.203,8743474.159
1978,2680676.044,5044504.658,9886001.999,8918195.339
1979,2752027.454,5109087.76,10070348.77,9103626.59
1980,2824129.385,5172030.246,10247193.3,9289267.844
1981,2896870.104,5233324.402,10422989.13,9474909.097
1982,2970249.611,5292970.231,10597736.26,9660550.35
1983,3044267.906,5350967.737,10771434.68,9846191.603
1984,3118924.986,5407316.926,10944084.41,10031832.86
1985,3194220.85,5462017.799,11115685.44,10217474.11
1986,3270155.498,5515070.363,11286237.78,10403115.36
1987,3346487.969,5566248.062,11450641.2,10588126.61
1988,3419156.338,5613103.194,11607069.39,10762847.79
1989,3492373.43,5658522.029,11764716.68,10937568.97
1990,3557780.839,5697370.812,11890226.2,11092340.01
1991,3622666.509,5734692.824,12024446.13,11245011.05
1992,3683415.734,5768384.627,12145884.18,11386972
1993,3744505.438,5801158.543,12271342.47,11528932.96
1994,3804459.056,5832094.253,12386380.57,11667323.9
1995,3861518.057,5860623.202,12501078.13,11798364.78
1996,3918895.063,5888331.295,12615265.69,11929405.67
