Time,Pop,Pop_world_med,Pop_world_up,Pop_world_low,Pop_exp_mod
1950,25364.31018,25364,25364,25364,25364.31018
1951,25781.31018,25840,25840,25840,25781.31018
1952,26197.31018,26309,26309,26309,26197.31018
1953,26613.31018,26776,26776,26776,26613.31018
1954,27077.31018,27248,27248,27248,27077.31018
1955,27545.31018,27730,27730,27730,27545.31018
1956,28013.31018,28224,28224,28224,28013.31018
1957,28481.31018,28733,28733,28733,28481.31018
1958,28997.31018,29257,29257,29257,28997.31018
1959,29517.31018,29796,29796,29796,29517.31018
1960,30037.31018,30349,30349,30349,30037.31018
1961,30575.31018,30918,30918,30918,30575.31018
1962,31147.31018,31504,31504,31504,31147.31018
1963,31719.31018,32110,32110,32110,31719.31018
1964,32296.31018,32740,32740,32740,32296.31018
1965,32920.31018,33396,33396,33396,32920.31018
1966,33544.31018,34079,34079,34079,33544.31018
1967,34173.31018,34788,34788,34788,34173.31018
1968,34849.31018,35516,35516,35516,34849.31018
1969,35525.31018,36257,36257,36257,35525.31018
1970,36216.31018,37004,37004,37004,36216.31018
1971,36944.31018,37758,37758,37758,36944.31018
1972,37672.31018,38517,38517,38517,37672.31018
1973,38431.31018,39278,39278,39278,38431.31018
1974,39211.31018,40038,40038,40038,39211.31018
1975,39991.31018,40795,40795,40795,39991.31018
1976,40819.31018,41547,41547,41547,40819.31018
1977,41651.31018,42295,42295,42295,41651.31018
1978,42483.31018,43045,43045,43045,42483.31018
1979,43367.31018,43805,43805,43805,43367.31018
1980,44251.31018,44580,44580,44580,44251.31018
1981,45135.31018,45370,45370,45370,45135.31018
1982,46019.31018,46174,46174,46174,46019.31018
1983,46903.31018,46996,46996,46996,46903.31018
1984,47787.31018,47840,47840,47840,47787.31018
1985,48671.31018,48709,48709,48709,48671.31018
1986,49555.31018,49606,49606,49606,49555.31018
1987,50435.31018,50525,50525,50525,50435.31018
1988,51267.31018,51454,51454,51454,51267.31018
1989,52099.31018,52374,52374,52374,52099.31018
1990,52834.31018,53272,53272,53272,52834.31018
1991,53560.31018,54143,54143,54143,53560.31018
1992,54236.31018,54989,54989,54989,54236.31018
1993,54912.31018,55816,55816,55816,54912.31018
1994,55570.31018,56632,56632,56632,55570.31018
1995,56194.31018,57442,57442,57442,56194.31018
1996,56818.31018,58249,58249,58249,56818.31018
1997,57442.31018,59050,59050,59050,57442.31018
1998,58077.31018,59848,59848,59848,58077.31018
1999,58753.31018,60642,60642,60642,58753.31018
2000,59429.31018,61435,61435,61435,59429.31018
2001,60141.31018,62226,62226,62226,60141.31018
2002,60875.31018,63018,63018,63018,60875.31018
2003,61655.31018,63812,63812,63812,61655.31018
2004,62480.31018,64612,64612,64612,62480.31018
2005,63356.31018,65419,65419,65419,63356.31018
2006,64301.31018,66235,66235,66235,64301.31018
2007,65318.31018,67059,67059,67059,65318.31018
2008,66436.31018,67891,67891,67891,66436.31018
2009,67612.31018,68728,68728,68728,67612.31018
2010,68908.31018,69568,69568,69568,68908.31018
2011,70431.31018,70412,70412,70412,70431.31018
2012,71933.31018,71258,71258,71258,71933.31018
2013,73389.31018,72106,72106,72106,73389.31018
2014,74805.31018,72953,72953,72953,74805.31018
2015,76185.31018,73798,73798,73798,76185.31018
2016,77528.31018,74640,74640,74640,77528.31018
2017,78828.31018,75479,75479,75479,78828.31018
2018,80081.31018,76311,76311,76311,80081.31018
2019,81296.31018,77135,77135,77135,81296.31018
2020,82473.31018,77948,77947.98729,77947.98729,82473.31018
2021,83611.31018,78750,78838.01792,78656.23935,83716.31018
2022,84703.31018,79540,79747.97218,79325.3635,84912.31018
2023,85752.31018,80318,80672.52206,79959.912,86070.31018
2024,86763.31018,81086,81607.44583,80563.56309,87193.31018
2025,87738.31018,81844,82549.62614,81139.1216,88282.31018
2026,88671.31018,82593,83497.11746,81688.47629,89322.31018
2027,89506.31018,83331,84449.06927,82212.63549,90326.31018
2028,90300.31018,84059,85405.58679,82711.86568,91288.31018
2029,91043.31018,84777,86367.43528,83185.88917,92201.31018
2030,91737.31018,85485,87335.22269,83634.52531,93023.31018
2031,92384.31018,86183,88308.52633,84058.35434,93791.31018
2032,92986.31018,86872,89285.11526,84459.31922,94515.31018
2033,93562.31018,87551,90260.62341,84840.96028,95191.31018
2034,94134.31018,88219,91229.48057,85207.71629,95822.31018
2035,94654.31018,88875,92187.67063,85562.81333,96414.31018
2036,95138.31018,89520,93133.53996,85907.68246,96971.31018
2037,95589.31018,90154,94067.93302,86241.78311,97491.31018
2038,96005.31018,90777,94992.52956,86563.82198,97964.31018
2039,96376.31018,91388,95910.209,86871.53623,98409.31018
2040,96723.31018,91988,96823.31792,87163.0955,98825.31018
2041,97035.31018,92577,97732.35656,87438.19865,99195.31018
2042,97311.31018,93155,98637.30958,87696.95366,99547.31018
2043,97571.31018,93721,99539.5221,87938.31823,99859.31018
2044,97783.31018,94276,100440.5211,88161.09396,100147.3102
2045,97990.31018,94818,101341.6442,88364.26116,100407.3102
2046,98146.31018,95349,102243.6507,88547.29367,100640.3102
2047,98302.31018,95867,103147.2005,88709.8061,100861.3102
2048,98499.31018,96374,104053.3675,88851.15182,101121.3102
