Time,Pop_model,data_Pop_world_un,co2_model,data_co2_world,GDP_model,data_GDP_world,Nox_model,data_Nox_world
1950,25364.31018,25364,,,,,,
1951,25781.31018,25840,,,,,,
1952,26197.31018,26309,,,,,,
1953,26613.31018,26776,,,,,,
1954,27077.31018,27248,,,,,,
1955,27545.31018,27730,,,,,,
1956,28013.31018,28224,,,,,,
1957,28481.31018,28733,,,,,,
1958,28997.31018,29257,,,,,,
1959,29517.31018,29796,,,,,,
1960,30037.31018,30349,,,97.73284205,136.9443925,,
1961,30575.31018,30918,9990117.18,9434402.595,126.4430415,142.5115082,,
1962,31147.31018,31504,10331548.42,9818839.874,174.5156787,153.0068789,,
1963,31719.31018,32110,10672105.65,10355747.35,222.6953079,164.8304928,,
1964,32296.31018,32740,11019373.15,10947007.09,259.6232707,180.5673902,,
1965,32920.31018,33396,11390420.05,11433441.98,307.0569805,196.627708,,
1966,33544.31018,34079,11758983.82,12009447,359.5611053,213.3345298,,
1967,34173.31018,34788,12134078.97,12389685.57,400.8240408,227.0951629,,
1968,34849.31018,35516,12532541.99,13017193.61,452.5882443,245.1449173,,
1969,35525.31018,36257,12928342.36,13797116.84,509.4245538,270.4652071,,
1970,36216.31018,37004,13337732.57,14788798.31,551.0452323,296.1058585,2238188.454,2225930.2
1971,36944.31018,37758,13761348.07,15323175.56,611.9397643,327.3349658,2271225.32,2089238.8
1972,37672.31018,38517,14183531.82,15957192.52,673.1096432,377.7608299,2303694.389,2245410.6
1973,38431.31018,39278,14628306.77,16822109.48,720.106026,460.9187413,2336994.396,2291020.9
1974,39211.31018,40038,15077542.74,16850822.09,785.6139647,531.5975951,2370521.238,2240345.2
1975,39991.31018,40795,15525176.11,16745791.87,851.1014453,592.034681,2403397.037,2329578.7
1976,40819.31018,41547,16004716.86,17726098.32,903.8192865,643.8212558,2437640.246,2412556.4
1977,41651.31018,42295,16478616.46,18279804.32,973.6531249,727.759066,2471254.493,2524965.5
1978,42483.31018,43045,16950692.83,18497906.48,1043.457317,858.4658502,2504128.005,2552326.1
1979,43367.31018,43805,17456405.37,19533547.95,1100.830064,997.1331092,2538305.904,2710503.6
1980,44251.31018,44580,17953935.57,19324327.26,1174.959067,1122.778736,2571587.751,2732925.9
1981,45135.31018,45370,18449407.52,18726246.9,1249.065973,1162.403716,2604033.377,2636112.9
1982,46019.31018,46174,18942821.24,18562354,1323.151603,1151.472567,2635642.786,2803906.6
1983,46903.31018,46996,19434176.72,18484356.91,1397.217561,1174.728263,2666415.98,2778356.4
1984,47787.31018,47840,19923473.97,19145865.38,1471.264258,1218.006495,2696352.96,2693295.5
1985,48671.31018,48709,20410712.99,19719241.16,1545.291867,1279.352686,2725453.729,2695397.3
1986,49555.31018,49606,20895893.79,20315356.02,1619.300498,1511.875137,2753718.289,2747396.7
1987,50435.31018,50525,21372818.63,20817151.96,1702.859871,1720.125496,2780982.787,2928827.3
1988,51267.31018,51454,21823491.5,21565403.31,1779.34353,1924.441073,2806002.813,2791221.4
1989,52099.31018,52374,22274495.9,22029385.16,1848.949814,2008.768931,2830315.241,2840340.9
1990,52834.31018,53272,22659032.66,22149402.4,2076.360047,2262.673659,2851018.637,2953007.3
1991,53560.31018,54143,23048131.3,22403928.87,2268.739059,2396.688554,2871043.044,2904557.4
1992,54236.31018,54989,23405971.34,22183417.49,2452.99768,2545.31892,2889122.432,3076061.8
1993,54912.31018,55816,23767254.2,22162174.56,2629.339346,2585.821043,2906781.608,2848968.2
1994,55570.31018,56632,24111572.56,22551690.63,2811.802672,2777.119216,2923416.931,2955369.5
1995,56194.31018,57442,24442898.96,23037524.13,2974.646994,3088.728136,2938843.023,2978718.7
1996,56818.31018,58249,24773212.5,23571556.67,3137.398694,3157.321334,2953852.805,3011978.6
1997,57442.31018,59050,25102500.56,23975007.35,3300.145694,3145.834085,2968445.955,3236772
1998,58077.31018,59848,25442600.28,24114192,3455.439468,3139.37379,2982954.485,3120987
1999,58753.31018,60642,25797201.25,24059187,3631.150144,3256.316074,2997838.591,2955561.7
2000,59429.31018,61435,26150442.23,24689911,3807.437587,3362.363791,3012230.509,2920510
2001,60141.31018,62226,26527421.53,25276631,3982.200151,3343.084199,3026952.997,2785436.8
2002,60875.31018,63018,26913454.41,25646998,4165.142889,3471.245185,3041544.517,2850332.2
2003,61655.31018,63812,27317595.54,27047792,4366.092911,3894.820769,3056356.599,2836658.1
2004,62480.31018,64612,27748479.07,28393581,4570.283487,4387.459766,3071393.14,2907452.8
2005,63356.31018,65419,28203660.86,29490014,4787.779794,4752.679279,3086559.131,2965813.4
2006,64301.31018,66235,28698044.04,30568112,5012.947467,5151.223154,3102091.938,3100186
2007,65318.31018,67059,29220604.76,31180501,5266.605377,5804.356038,3117637.14,3260053
2008,66436.31018,67891,29797401.84,32181592,5536.244016,6369.017785,3133543.861,3031989.1
2009,67612.31018,68728,30393675.78,31891899,5831.910368,6041.028658,3148723.345,3068677.6
2010,68908.31018,69568,31063733.6,33472376,6128.741664,6612.591919,3164039.577,3084899.9
2011,70431.31018,70412,31757436.23,34847501,6737.6686,7346.034566,3226728.503,3123551.397
2012,71933.31018,71258,32640021.55,35470891,7047.58923,7516.177895,3298207.075,3153742.479
2013,73389.31018,72106,33494967.29,35837591,7348.028654,7731.633653,,
