Time,P1_sce3,P2_sce3,P3_sce3,H1_sce3,H2_sce3,H3_sce3,C1_sce3,C2_sce3,numHH_sce3,C_Emission_sce3,GDP_sce3,N_Emission_sce3,P1_sce4,P2_sce4,P3_sce4,H1_sce4,H2_sce4,H3_sce4,C1_sce4,C2_sce4,numHH_sce4,C_Emission_sce4,GDP_sce4,N_Emission_sce4
1960,3.085065109,13.94886397,1.034478065,3.842468031,0.438574662,3.490139986,3.086737404,1.333052647,30027.31018,9662167.322,97.73284205,1934808.043,3.085065109,13.94886397,1.034478065,3.842468031,0.438574662,3.490139986,3.086737404,1.333052647,30027.31018,9662167.322,97.73284205,1934808.043
1961,3.102808978,13.94159151,1.035309295,3.842468031,0.438415465,3.489796416,3.084485757,1.331957726,30564.31018,9990117.18,126.4430415,1962867.551,3.102808978,13.94159151,1.035309295,3.842468031,0.438415465,3.489796416,3.084485757,1.331957726,30564.31018,9990117.18,126.4430415,1962867.551
1962,3.121844842,13.93266644,1.036235502,3.842468031,0.438409252,3.489231408,3.082888244,1.330827062,31136.31018,10331548.42,174.5156787,1992322.261,3.121844842,13.93266644,1.036235502,3.842468031,0.438409252,3.489231408,3.082888244,1.330827062,31136.31018,10331548.42,174.5156787,1992322.261
1963,3.140881457,13.92384118,1.037188551,3.842468031,0.438334545,3.488814258,3.080972838,1.329603155,31708.31018,10672105.65,222.6953079,2021426.627,3.140881457,13.92384118,1.037188551,3.842468031,0.438334545,3.488814258,3.080972838,1.329603155,31708.31018,10672105.65,222.6953079,2021426.627
1964,3.159961301,13.91500139,1.038173206,3.842468031,0.438184601,3.488352777,3.078951792,1.328343609,32284.31018,11019373.15,259.6232707,2050451.401,3.159961301,13.91500139,1.038173206,3.842468031,0.438184601,3.488352777,3.078951792,1.328343609,32284.31018,11019373.15,259.6232707,2050451.401
1965,3.180689477,13.90524589,1.039110164,3.842468031,0.438244825,3.487954425,3.07661602,1.327150291,32908.31018,11390420.05,307.0569805,2081438.155,3.180689477,13.90524589,1.039110164,3.842468031,0.438244825,3.487954425,3.07661602,1.327150291,32908.31018,11390420.05,307.0569805,2081438.155
1966,3.201456544,13.89523048,1.040204952,3.842468031,0.438179869,3.487465842,3.074391965,1.325746861,33532.31018,11758983.82,359.5611053,2111988.233,3.201456544,13.89523048,1.040204952,3.842468031,0.438179869,3.487465842,3.074391965,1.325746861,33532.31018,11758983.82,359.5611053,2111988.233
1967,3.222266831,13.88509074,1.041302225,3.842468031,0.438038901,3.486957636,3.072104648,1.324352844,34160.31018,12134078.97,400.8240408,2142385.311,3.222266831,13.88509074,1.041302225,3.842468031,0.438038901,3.486957636,3.072104648,1.324352844,34160.31018,12134078.97,400.8240408,2142385.311
1968,3.24472543,13.8740198,1.042353546,3.842468031,0.438101146,3.486498768,3.069519593,1.323027658,34836.31018,12532541.99,452.5882443,2174577.589,3.24472543,13.8740198,1.042353546,3.842468031,0.438101146,3.486498768,3.069519593,1.323027658,34836.31018,12532541.99,452.5882443,2174577.589
1969,3.26722291,13.86266193,1.043560557,3.842468031,0.438040097,3.485940865,3.067063147,1.321501375,35512.31018,12928342.36,509.4245538,2206260.512,3.26722291,13.86266193,1.043560557,3.842468031,0.438040097,3.485940865,3.067063147,1.321501375,35512.31018,12928342.36,509.4245538,2206260.512
